in s,C2 in V
-1.1943680E-01,2.50852E+00
-1.1943219E-01,2.56711E+00
-1.1942758E-01,2.52805E+00
-1.1942298E-01,2.50852E+00
-1.1941837E-01,2.50852E+00
-1.1941376E-01,2.54758E+00
-1.1940915E-01,2.54758E+00
-1.1940454E-01,2.46945E+00
-1.1939994E-01,2.52805E+00
-1.1939533E-01,2.46945E+00
-1.1939072E-01,2.50852E+00
-1.1938611E-01,2.56711E+00
-1.1938150E-01,2.48898E+00
-1.1937690E-01,2.56711E+00
-1.1937229E-01,2.54758E+00
-1.1936768E-01,2.52805E+00
-1.1936307E-01,2.48898E+00
-1.1935846E-01,2.48898E+00
-1.1935386E-01,2.50852E+00
-1.1934925E-01,2.56711E+00
-1.1934464E-01,2.52805E+00
-1.1934003E-01,2.48898E+00
-1.1933542E-01,2.50852E+00
-1.1933082E-01,2.56711E+00
-1.1932621E-01,2.56711E+00
-1.1932160E-01,2.52805E+00
-1.1931699E-01,2.54758E+00
-1.1931238E-01,2.60617E+00
-1.1930778E-01,2.58664E+00
-1.1930317E-01,2.48898E+00
-1.1929856E-01,2.58664E+00
-1.1929395E-01,2.58664E+00
-1.1928934E-01,2.56711E+00
-1.1928474E-01,2.58664E+00
-1.1928013E-01,2.48898E+00
-1.1927552E-01,2.48898E+00
-1.1927091E-01,2.56711E+00
-1.1926630E-01,2.54758E+00
-1.1926170E-01,2.44992E+00
-1.1925709E-01,2.50852E+00
-1.1925248E-01,2.48898E+00
-1.1924787E-01,2.54758E+00
-1.1924326E-01,2.52805E+00
-1.1923866E-01,2.44992E+00
-1.1923405E-01,2.48898E+00
-1.1922944E-01,2.52805E+00
-1.1922483E-01,2.52805E+00
-1.1922022E-01,2.48898E+00
-1.1921562E-01,2.54758E+00
-1.1921101E-01,2.56711E+00
-1.1920640E-01,2.62570E+00
-1.1920179E-01,2.50852E+00
-1.1919718E-01,2.52805E+00
-1.1919258E-01,2.56711E+00
-1.1918797E-01,2.58664E+00
-1.1918336E-01,2.56711E+00
-1.1917875E-01,2.56711E+00
-1.1917414E-01,2.54758E+00
-1.1916954E-01,2.50852E+00
-1.1916493E-01,2.50852E+00
-1.1916032E-01,2.50852E+00
-1.1915571E-01,2.48898E+00
-1.1915110E-01,2.54758E+00
-1.1914650E-01,2.50852E+00
-1.1914189E-01,2.52805E+00
-1.1913728E-01,2.52805E+00
-1.1913267E-01,2.50852E+00
-1.1912806E-01,2.50852E+00
-1.1912346E-01,2.54758E+00
-1.1911885E-01,2.48898E+00
-1.1911424E-01,2.46945E+00
-1.1910963E-01,2.41086E+00
-1.1910502E-01,2.44992E+00
-1.1910042E-01,2.48898E+00
-1.1909581E-01,2.52805E+00
-1.1909120E-01,2.46945E+00
-1.1908659E-01,2.46945E+00
-1.1908198E-01,2.48898E+00
-1.1907738E-01,2.48898E+00
-1.1907277E-01,2.41086E+00
-1.1906816E-01,2.48898E+00
-1.1906355E-01,2.43039E+00
-1.1905894E-01,2.54758E+00
-1.1905434E-01,2.48898E+00
-1.1904973E-01,2.44992E+00
-1.1904512E-01,2.48898E+00
