in s,C2 in V
-1.09409808E+00,-7.32422E-01
-1.09408884E+00,-4.39453E-01
-1.09407960E+00,-1.07422E-01
-1.09407036E+00,4.88281E-02
-1.09406112E+00,4.39453E-01
-1.09405188E+00,7.12891E-01
-1.09404264E+00,7.91016E-01
-1.09403340E+00,8.49609E-01
-1.09402416E+00,8.10547E-01
-1.09401492E+00,7.12891E-01
-1.09400568E+00,8.30078E-01
-1.09399644E+00,6.54297E-01
-1.09398720E+00,7.32422E-01
-1.09397796E+00,5.95703E-01
-1.09396872E+00,6.93359E-01
-1.09395948E+00,5.95703E-01
-1.09395024E+00,4.98047E-01
-1.09394100E+00,4.00391E-01
-1.09393176E+00,2.63672E-01
-1.09392252E+00,-6.83594E-02
-1.09391328E+00,-1.46484E-01
-1.09390404E+00,-2.63672E-01
-1.09389480E+00,-4.19922E-01
-1.09388556E+00,-5.76172E-01
-1.09387632E+00,-6.93359E-01
-1.09386708E+00,-6.34766E-01
-1.09385784E+00,-6.54297E-01
-1.09384860E+00,-7.12891E-01
-1.09383936E+00,-7.91016E-01
-1.09383012E+00,-6.93359E-01
-1.09382088E+00,-8.49609E-01
-1.09381164E+00,-8.30078E-01
-1.09380240E+00,-8.49609E-01
-1.09379316E+00,-9.47266E-01
-1.09378392E+00,-9.08203E-01
-1.09377468E+00,-9.66797E-01
-1.09376544E+00,-7.71484E-01
-1.09375620E+00,-4.98047E-01
-1.09374696E+00,-1.07422E-01
-1.09373772E+00,1.46484E-01
-1.09372848E+00,4.58984E-01
-1.09371924E+00,6.93359E-01
-1.09371000E+00,7.12891E-01
-1.09370076E+00,7.32422E-01
-1.09369152E+00,7.51953E-01
-1.09368228E+00,7.32422E-01
-1.09367304E+00,9.08203E-01
-1.09366380E+00,6.73828E-01
-1.09365456E+00,7.91016E-01
-1.09364532E+00,6.54297E-01
-1.09363608E+00,5.95703E-01
-1.09362684E+00,5.95703E-01
-1.09361760E+00,5.37109E-01
-1.09360836E+00,4.19922E-01
-1.09359912E+00,3.41797E-01
-1.09358988E+00,6.83594E-02
-1.09358064E+00,-9.76562E-03
-1.09357140E+00,-2.44141E-01
-1.09356216E+00,-4.00391E-01
-1.09355292E+00,-5.56641E-01
-1.09354368E+00,-5.56641E-01
-1.09353444E+00,-6.54297E-01
-1.09352520E+00,-6.34766E-01
-1.09351596E+00,-7.12891E-01
-1.09350672E+00,-7.12891E-01
-1.09349748E+00,-8.30078E-01
-1.09348824E+00,-7.12891E-01
-1.09347900E+00,-7.91016E-01
-1.09346976E+00,-8.10547E-01
-1.09346052E+00,-9.27734E-01
-1.09345128E+00,-1.04492E+00
-1.09344204E+00,-9.66797E-01
-1.09343280E+00,-7.71484E-01
-1.09342356E+00,-5.37109E-01
-1.09341432E+00,-1.85547E-01
-1.09340508E+00,2.92969E-02
-1.09339584E+00,4.19922E-01
-1.09338660E+00,5.95703E-01
-1.09337736E+00,7.91016E-01
-1.09336812E+00,8.30078E-01
-1.09335888E+00,8.49609E-01
-1.09334964E+00,8.10547E-01
-1.09334040E+00,8.10547E-01
-1.09333116E+00,7.51953E-01
-1.09332192E+00,7.71484E-01
-1.09331268E+00,7.51953E-01
-1.09330344E+00,6.73828E-01
-1.09329420E+00,5.37109E-01
-1.09328496E+00,4.78516E-01
-1.09327572E+00,4.58984E-01
-1.09326648E+00,3.22266E-01
-1.09325724E+00,6.83594E-02
-1.09324800E+00,-6.83594E-02
-1.09323876E+00,-2.24609E-01
-1.09322952E+00,-4.78516E-01
-1.09322028E+00,-4.98047E-01
-1.09321104E+00,-6.54297E-01
-1.09320180E+00,-6.93359E-01
-1.09319256E+00,-6.34766E-01
-1.09318332E+00,-7.71484E-01
-1.09317408E+00,-7.12891E-01
-1.09316484E+00,-7.91016E-01
-1.09315560E+00,-7.51953E-01
-1.09314636E+00,-9.27734E-01
-1.09313712E+00,-7.91016E-01
-1.09312788E+00,-9.08203E-01
-1.09311864E+00,-9.27734E-01
-1.09310940E+00,-8.88672E-01
-1.09310016E+00,-7.91016E-01
-1.09309092E+00,-4.78516E-01
-1.09308168E+00,-1.46484E-01
-1.09307244E+00,1.46484E-01
-1.09306320E+00,4.39453E-01
-1.09305396E+00,6.15234E-01
-1.09304472E+00,7.51953E-01
-1.09303548E+00,8.10547E-01
-1.09302624E+00,7.91016E-01
-1.09301700E+00,8.69141E-01
-1.09300776E+00,8.30078E-01
